id,title,value
id,Минимальный размер ниши (В × Ш × Г),1775 × 600 × 685
id,Размер упаковки (В × Ш × Г),1805 × 663 × 736
id,Вес без упаковки,100, 3
id,Вес с упаковкой,108
id,Вместимость (бутылок),9
id,Тип о×лаждения,Компрессорный
id,Материал корпуса,Сталь
id,Цвет корпуса,Чёрный
id,Тип установки,Встраиваемый Отдельностоящий
id,Тип встраивания,Под столешницу
id,Встроенная система вентиляции,Да
id,Кол-во температурны× зон,1
id,Диапазон температур,От +5 до +20°C
id,Количество дверей,1
id,Рамка двери,Белая
id,Навесной фасад,Нет
id,Перенавешиваемая дверь,Да (side by side)
id,Автодоводчик двери,Нет
id,Стекло,Тройное с УФ-фильтром
id,Ручка двери,Чёрная
id,Замок двери,Нет
id,Панорамное освещение,Нет
id,Угольный фильтр,Нет
id,Сигнализация открытой двери,Нет
id,Сигнализация отклонения температуры,Да
id,Вид о×лаждения,Динамический
id,Тип управления,Сенсорный
id,Количество полок,6
id,Тип полок,Держатели
id,Материал полок,Дерево (массив бука)
id,Автоматическая разморозка,Да
id,Зимний режим,Нет
id,Демонстрационное освещение,Да
id,Блокировка панели управления,Да
id,Режим Шаббат,Нет
id,Режим Эко Демо,Да
id,Память настроек,Да
id,Резервуар для воды,Нет
id,Термостат,Электронный
id,Диапазон влажности,,60-80%
id,Углублённый цоколь,Да
id,Регулируемые ножки,Да
id,Уровень шума,37
id,Энергопотребление,136
id,Класс энергоэффективности,A
id,Климатический класс,N - ST
id,Хладагент,R600A (12 гр.)
id,Объем,22
id,Высота,820
id,Ширина,150
id,Глубина,525
id,Размер двери (В×Ш),720 × 150
id,Минимальный размер ниши (В × Ш × Г),830 × 160 × 550
id,Размер упаковки (В × Ш × Г),900 × 225 x 585
id,Вес без упаковки,17
id,Вес с упаковкой,19, 5
id,Вместимость (бутылок),42
id,Тип о×лаждения,Компрессорный
id,Материал корпуса,Сталь
id,Цвет корпуса,Чёрный
id,Тип установки,Встраиваемый
